"filename", "language", "JSON", "JavaScript", "YAML", "Markdown", "SQL", "HTML", "SCSS", "comment", "blank", "total"
"e:\Code\StudyManagement\routes\main-routes\subjectRouter.js", "JavaScript", 0, 217, 0, 0, 0, 0, 0, 3, 7, 227
"e:\Code\StudyManagement\routes\main-routes\teacherRouter.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 3, 5, 126
"e:\Code\StudyManagement\routes\main-routes\timetableRouter.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 5, 97
"e:\Code\StudyManagement\routes\pageRouter.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 7, 11, 55
"e:\Code\StudyManagement\server.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Code\StudyManagement\views\asserts\js\account.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 1, 5, 85
"e:\Code\StudyManagement\views\asserts\js\capture.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\Code\StudyManagement\views\asserts\js\event.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 21, 11, 163
"e:\Code\StudyManagement\views\asserts\js\forget.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 1, 3, 85
"e:\Code\StudyManagement\views\asserts\js\overlay.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"e:\Code\StudyManagement\views\asserts\js\quicksortEvent.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 1, 12, 149
"e:\Code\StudyManagement\views\asserts\js\quicksortSubject.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 7, 11, 196
"e:\Code\StudyManagement\views\asserts\js\quicksortTeacher.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 7, 80
"e:\Code\StudyManagement\views\asserts\js\subject.js", "JavaScript", 0, 211, 0, 0, 0, 0, 0, 25, 17, 253
"e:\Code\StudyManagement\views\asserts\js\teacher.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 1, 9, 107
"e:\Code\StudyManagement\views\asserts\js\timetable.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 39, 6, 183
"e:\Code\StudyManagement\views\asserts\js\validate.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"e:\Code\StudyManagement\views\asserts\scss\dashboard.scss", "SCSS", 0, 0, 0, 0, 0, 0, 162, 0, 8, 170
"e:\Code\StudyManagement\views\asserts\scss\event.scss", "SCSS", 0, 0, 0, 0, 0, 0, 139, 0, 8, 147
"e:\Code\StudyManagement\views\asserts\scss\forget.scss", "SCSS", 0, 0, 0, 0, 0, 0, 63, 0, 3, 66
"e:\Code\StudyManagement\views\asserts\scss\grade.scss", "SCSS", 0, 0, 0, 0, 0, 0, 87, 0, 2, 89
"e:\Code\StudyManagement\views\asserts\scss\home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 65, 2, 2, 69
"e:\Code\StudyManagement\views\asserts\scss\login-register.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 4, 45
"e:\Code\StudyManagement\views\asserts\scss\login.scss", "SCSS", 0, 0, 0, 0, 0, 0, 54, 0, 3, 57
"e:\Code\StudyManagement\views\asserts\scss\notfound.scss", "SCSS", 0, 0, 0, 0, 0, 0, 48, 0, 4, 52
"e:\Code\StudyManagement\views\asserts\scss\register.scss", "SCSS", 0, 0, 0, 0, 0, 0, 74, 0, 2, 76
"e:\Code\StudyManagement\views\asserts\scss\subject.scss", "SCSS", 0, 0, 0, 0, 0, 0, 153, 1, 9, 163
"e:\Code\StudyManagement\views\asserts\scss\teacher.scss", "SCSS", 0, 0, 0, 0, 0, 0, 142, 0, 5, 147
"e:\Code\StudyManagement\views\asserts\scss\timetable.scss", "SCSS", 0, 0, 0, 0, 0, 0, 22, 1, 4, 27
"e:\Code\StudyManagement\views\dashboard.html", "HTML", 0, 0, 0, 0, 0, 59, 0, 0, 4, 63
"e:\Code\StudyManagement\views\event.html", "HTML", 0, 0, 0, 0, 0, 141, 0, 1, 4, 146
"e:\Code\StudyManagement\views\forget.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 4, 45
"e:\Code\StudyManagement\views\login.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
"e:\Code\StudyManagement\views\notfound.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"e:\Code\StudyManagement\views\option.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\placeholder\code.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"e:\Code\StudyManagement\views\placeholder\common.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\placeholder\event-card.html", "HTML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"e:\Code\StudyManagement\views\placeholder\event-data.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\placeholder\event-on-timetable.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\placeholder\option.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\placeholder\subject-card.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"e:\Code\StudyManagement\views\placeholder\subject-data.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\placeholder\subject-on-timetable.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\placeholder\teacher-data.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\placeholder\teacher-name.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\placeholder\timetable-data.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\views\register.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 0, 3, 66
"e:\Code\StudyManagement\views\subject.html", "HTML", 0, 0, 0, 0, 0, 177, 0, 4, 6, 187
"e:\Code\StudyManagement\views\teacher.html", "HTML", 0, 0, 0, 0, 0, 109, 0, 1, 6, 116
"e:\Code\StudyManagement\views\timetable.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 5, 43
"Total", "-", 3129, 2512, 56, 26, 629, 733, 1050, 335, 459, 8929
